topology.edgelist/ns->edgelist,-75.64295959472656,435.0563018881179
clojure.core/*err*,368.7214605810184,-45.67441177368164
topology.qualifier/fq-ns,154.13290405273438,-22.25457763671875
topology.symbols/zip-nodes,452.1331481933594,96.28380797695931
topology.edgelist/dirs->fn-edges,-75.64295775394565,636.4664291423012
topology.edgelist-test/edges,550.3593139648438,636.4664291423012
topology.symbols/symbols,396.4121398925781,129.42099424981708
topology.finder/dirs->sources,81.20980072021484,556.6924408041335
topology.finder/source-paths->namespaces,14.550487518310547,592.6419036947585
topology.qualifier/all-fq,116.85322570800781,30.922077178955078
topology.qualifier/filter-fully-qualified,79.68016052246094,84.63813781738281
topology.edgelist-test/should-report-java-interop,648.1826171875,715.7393915529817
topology.dependencies/sources,81.20980072021484,201.70419311523438
topology.dependencies/interns,81.20980072021484,254.15911865234375
topology.edgelist/interleave-keys,-75.64295959472656,-70.33786988277622
topology.symbols/seq-map-zip,496.9039611816406,62.390436394928074
clojure.core/println,-82.15534984813736,-158.97528076171875
topology.printer/print-weighted-edges,-172.01162719726562,-120.19684386234097
topology.dependencies/ns->fn-dep-map,-16.081695556640625,323.0506896972656
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,646.7295532226562,767.9158818845182
topology.finder/clojurescript-file?,239.18075561523438,484.79354554046165
topology.finder/find-sources-in-dir,165.22544860839844,520.7430389486648
leiningen.topology/topology,-167.81338500976562,689.9852294921875
topology.dependencies-test/should-compute-fn-calls-in-namespace,565.6497802734375,322.81683412126847
topology.edgelist-test/syntax-quotes-add-seq-concat-list,646.210237404323,672.636669385013
topology.dependencies/dependencies,81.20980072021484,146.716796875
