clojure.zip/zipper,555.4481201171875,-11.04462718963623
clojure.zip/node,555.4481201171875,132.4499969482422
clojure.zip/end?,555.4481201171875,36.78691418965658
clojure.java.io/file,20.8542537689209,461.1946714631288
clojure.tools.namespace.file/clojure-file?,163.09681735206274,422.3510437011719
topology.edgelist/ns->edgelist,-691.6394651643006,487.9241945036681
clojure.core/*err*,-139.4849090576172,-25.20022218311144
clojure.zip/next,555.4481201171875,84.61845556894939
topology.qualifier/fq-ns,-462.35687255859375,40.98275773608995
topology.symbols/zip-nodes,226.95352172851562,53.25585208106663
topology.edgelist/dirs->fn-edges,-722.7934575344417,564.3525390625
topology.edgelist-test/edges,217.73352084327365,629.3706056364805
topology.symbols/symbols,131.07308976733995,106.47274780273438
clojure.tools.namespace.file/read-file-ns-decl,86.61611938476562,527.6698606721133
topology.finder/dirs->sources,-224.11724853515625,477.8236997834414
topology.finder/source-paths->namespaces,-252.3785400390625,544.092162918207
topology.qualifier/all-fq,-503.62286360180065,125.77229325855089
leiningen.core.eval/eval-in-project,-764.8380735627383,716.8001708984375
topology.qualifier/filter-fully-qualified,-538.0684204101562,196.2168426513672
topology.edgelist-test/should-report-java-interop,479.39654524242565,727.9804077148438
clojure.repl/source-fn,285.2271423339844,267.4034713908154
topology.dependencies/sources,-40.77081298828125,273.4174496157107
topology.dependencies/interns,-39.33654801929308,146.5892333984375
topology.edgelist/interleave-keys,-605.2636108398438,451.3067018278868
topology.symbols/seq-map-zip,301.8438720703125,9.322624038812389
clojure.core/println,-769.3216552734375,-145.40447998046875
topology.printer/print-weighted-edges,-771.153564453125,-57.83860778808594
topology.dependencies/ns->fn-dep-map,-615.7315673828125,354.1559755095275
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,479.22064208984375,632.1389158478944
topology.finder/clojurescript-file?,-27.64806365966797,378.08364851391013
topology.finder/find-sources-in-dir,-173.9873809814453,422.69085676586326
leiningen.topology/topology,-766.3135374299258,648.727783203125
topology.dependencies-test/should-compute-fn-calls-in-namespace,557.0765379182069,329.9967041015625
topology.edgelist-test/syntax-quotes-add-seq-concat-list,478.1246336213319,682.2647705078125
topology.dependencies/dependencies,-40.77081298828125,198.350341796875
